iter	Passed	Remaining
902	3204	67772
903	3207	67763
904	3212	67776
905	3215	67775
906	3218	67745
907	3222	67752
908	3225	67748
909	3228	67732
910	3232	67736
911	3236	67733
912	3239	67734
913	3243	67727
914	3247	67744
915	3251	67751
916	3255	67755
917	3260	67767
918	3263	67754
919	3266	67740
920	3269	67739
921	3272	67724
922	3276	67719
923	3279	67709
924	3282	67697
925	3287	67709
926	3290	67691
927	3292	67669
928	3296	67679
929	3300	67679
930	3302	67652
931	3306	67639
932	3309	67636
933	3312	67626
934	3317	67639
935	3321	67641
936	3324	67627
937	3327	67624
938	3330	67615
939	3335	67633
940	3339	67645
941	3343	67651
942	3346	67637
943	3350	67631
944	3353	67610
945	3356	67612
946	3360	67616
947	3364	67607
948	3367	67600
949	3371	67606
950	3375	67604
951	3379	67612
952	3382	67596
953	3385	67591
954	3389	67594
955	3393	67599
956	3397	67607
957	3400	67595
958	3404	67593
959	3408	67593
960	3412	67603
961	3415	67598
962	3418	67582
963	3421	67569
964	3425	67564
965	3427	67541
966	3430	67529
967	3435	67538
968	3438	67524
969	3440	67498
970	3444	67505
971	3447	67485
972	3450	67473
973	3453	67464
974	3457	67466
975	3461	67464
976	3464	67455
977	3466	67429
978	3470	67429
979	3473	67417
980	3476	67404
981	3480	67406
982	3484	67404
983	3487	67394
984	3490	67382
985	3493	67376
986	3497	67379
987	3501	67373
988	3505	67375
989	3508	67367
990	3511	67357
991	3516	67377
992	3520	67387
993	3524	67385
994	3527	67376
995	3531	67383
996	3535	67381
997	3539	67395
998	3543	67388
999	3545	67367
1000	3548	67360
1001	3552	67355
1002	3556	67369
1003	3560	67358
1004	3563	67355
1005	3567	67360
1006	3570	67336
1007	3573	67337
1008	3577	67333
1009	3581	67338
1010	3585	67340
1011	3588	67334
1012	3592	67337
1013	3595	67327
1014	3599	67334
1015	3602	67310
1016	3605	67299
1017	3609	67305
1018	3613	67306
1019	3616	67302
1020	3620	67298
1021	3623	67293
1022	3627	67288
1023	3631	67295
1024	3634	67287
1025	3637	67273
1026	3640	67252
1027	3644	67259
1028	3648	67257
1029	3651	67258
1030	3655	67261
1031	3659	67257
1032	3662	67244
1033	3665	67237
1034	3668	67229
1035	3672	67221
1036	3674	67195
1037	3678	67197
1038	3682	67205
1039	3686	67209
1040	3689	67185
1041	3692	67176
1042	3696	67177
1043	3699	67176
1044	3703	67170
1045	3705	67152
1046	3709	67153
1047	3713	67162
1048	3717	67156
1049	3720	67152
1050	3724	67155
1051	3727	67132
1052	3730	67121
1053	3733	67112
1054	3737	67114
1055	3740	67104
1056	3744	67114
1057	3747	67101
1058	3750	67076
1059	3754	67087
1060	3759	67099
1061	3762	67090
1062	3765	67079
1063	3769	67085
1064	3773	67083
1065	3776	67082
1066	3780	67076
1067	3784	67078
1068	3786	67054
1069	3789	67042
1070	3792	67020
1071	3795	67020
1072	3799	67014
1073	3803	67017
1074	3805	66999
1075	3809	66993
1076	3812	66992
1077	3816	66988
1078	3819	66980
1079	3822	66966
1080	3826	66960
1081	3828	66942
1082	3832	66946
1083	3837	66958
1084	3839	66936
1085	3843	66947
1086	3847	66949
1087	3850	66938
1088	3854	66934
1089	3857	66924
1090	3861	66919
1091	3864	66905
1092	3867	66907
1093	3872	66917
1094	3875	66906
